EN_Name,FR_Name,ZH_Name,EN_URL,FR_URL,ZH_URL,Category
Concrete,Béton de ciment,混凝土,https://en.wikipedia.org/wiki/Concrete,https://fr.wikipedia.org/wiki/B%C3%A9ton_de_ciment,https://zh.wikipedia.org/wiki/%E6%B7%B7%E5%87%9D%E5%9C%9F, Technology
Rocket,Fusée (astronautique),火箭,https://en.wikipedia.org/wiki/Rocket,https://fr.wikipedia.org/wiki/Fus%C3%A9e_(astronautique),https://zh.wikipedia.org/wiki/%E7%81%AB%E7%AE%AD, Technology
Electricity,Électricité,電,https://en.wikipedia.org/wiki/Electricity,https://fr.wikipedia.org/wiki/%C3%89lectricit%C3%A9,https://zh.wikipedia.org/wiki/%E9%9B%BB, Technology
Animal husbandry,Élevage,畜牧业,https://en.wikipedia.org/wiki/Animal_husbandry,https://fr.wikipedia.org/wiki/%C3%89levage,https://zh.wikipedia.org/wiki/%E7%95%9C%E7%89%A7%E4%B8%9A, Technology
Computer science,Informatique,计算机科学,https://en.wikipedia.org/wiki/Computer_science,https://fr.wikipedia.org/wiki/Informatique,https://zh.wikipedia.org/wiki/%E8%AE%A1%E7%AE%97%E6%9C%BA%E7%A7%91%E5%AD%A6, Technology
Bridge,Pont,橋,https://en.wikipedia.org/wiki/Bridge,https://fr.wikipedia.org/wiki/Pont,https://zh.wikipedia.org/wiki/%E6%A9%8B, Technology
Renewable energy,Énergie renouvelable,可再生能源,https://en.wikipedia.org/wiki/Renewable_energy,https://fr.wikipedia.org/wiki/%C3%89nergie_renouvelable,https://zh.wikipedia.org/wiki/%E5%8F%AF%E5%86%8D%E7%94%9F%E8%83%BD%E6%BA%90, Technology
Mobile phone,Téléphone mobile,移动电话,https://en.wikipedia.org/wiki/Mobile_phone,https://fr.wikipedia.org/wiki/T%C3%A9l%C3%A9phone_mobile,https://zh.wikipedia.org/wiki/%E7%A7%BB%E5%8A%A8%E7%94%B5%E8%AF%9D, Technology
Textile,Textile,布,https://en.wikipedia.org/wiki/Textile,https://fr.wikipedia.org/wiki/Textile,https://zh.wikipedia.org/wiki/%E5%B8%83, Technology
Fire,Feu,火,https://en.wikipedia.org/wiki/Fire,https://fr.wikipedia.org/wiki/Feu,https://zh.wikipedia.org/wiki/%E7%81%AB, Technology
Wind power,Énergie éolienne,風能,https://en.wikipedia.org/wiki/Wind_power,https://fr.wikipedia.org/wiki/%C3%89nergie_%C3%A9olienne,https://zh.wikipedia.org/wiki/%E9%A2%A8%E8%83%BD, Technology
Refrigeration,Réfrigération,制冷,https://en.wikipedia.org/wiki/Refrigeration,https://fr.wikipedia.org/wiki/R%C3%A9frig%C3%A9ration,https://zh.wikipedia.org/wiki/%E5%88%B6%E5%86%B7, Technology
